2.0000,134.7376,73.0457,14.7319,30029.8893,15.0420,75069.4306,14.9139,43297.2595
4.0000,633.0163,176.3527,13.0943,151266.9370,13.4448,257997.4838,13.3498,139504.4614
5.0000,598.0595,182.2326,15.1095,23859.6267,15.4621,41503.7220,15.3673,22958.9186
7.0000,116.8809,237.0465,16.3179,8106.3075,16.6382,18353.7544,16.5186,11262.8427
9.0000,277.1646,279.3514,12.9526,192458.7993,13.3083,313254.3822,13.2194,166581.4375
10.0000,753.2414,297.7679,15.8501,10947.5395,16.1283,25761.4103,15.9465,16214.5999
11.0000,148.1153,300.9483,14.4757,44824.3753,14.8007,94486.9649,14.6857,50039.8962
12.0000,139.2129,326.4762,13.4770,125553.6517,13.8269,226196.9859,13.7359,114381.5661
13.0000,294.0869,333.4475,13.6086,97953.1376,13.9371,173576.3543,13.8221,97456.7616
15.0000,671.5117,374.1220,14.2250,55047.1174,14.5574,99576.2531,14.4478,55342.7688
16.0000,167.3328,376.1453,13.3522,138192.6198,13.6999,241203.0351,13.6092,126727.7366
17.0000,599.9596,377.8135,16.0325,9207.1360,16.3030,20748.4987,16.1045,14860.0087
19.0000,753.2709,395.8218,15.7687,11791.1137,16.0678,22415.1056,15.8992,13160.8559
20.0000,202.2554,402.3260,15.6814,12367.0390,15.9428,30427.1782,15.7334,21627.0818
24.0000,638.2244,483.8480,14.3485,53548.3755,14.6666,96185.4360,14.5370,56320.0229
25.0000,307.6334,502.3491,14.4125,49957.4774,14.7476,81571.0775,14.6325,47981.0659
27.0000,467.4349,508.6001,13.3481,146617.3555,13.7044,207734.0643,13.6135,114376.0147
28.0000,491.0394,514.0127,15.3511,18921.3312,15.6325,37189.5183,15.4727,24782.3422
29.0000,332.3987,544.3355,15.1872,22393.4859,15.4967,42407.4687,15.3582,26480.2857
30.0000,340.3127,579.8659,15.2596,21887.1396,15.5587,41377.6113,15.4020,26742.2181
31.0000,74.0828,594.4405,13.8681,103577.3436,14.2254,158396.3278,14.1414,85255.6016
32.0000,165.4784,602.2055,15.0546,25889.6553,15.3389,54306.0943,15.1625,37222.0728
33.0000,323.1591,617.9753,13.1535,184770.4964,13.5064,267906.7928,13.4154,154271.0678
35.0000,147.0272,701.6620,14.4914,53134.7319,14.8139,88122.7742,14.6850,54520.1141
36.0000,124.5790,706.9174,13.2003,191732.1787,13.5561,283404.9008,13.4649,161146.0283
